,PIB_R_0,PIB_R_1B,EMP_0,EMP_1B,POPACT_0,POPACT_1B,EMISTOTALESD_0,EMISTOTALESD_1B,P_VAB_0,P_VAB_1B,P_CFIN_0,P_CFIN_1B,P_XBS_0,P_XBS_1B,RDMEN_0,RDMEN_1B,EQUEXT_R_0,EQUEXT_R_1B,I_R_0,I_R_1B,XBS_R_0,XBS_R_1B,SALM_0,SALM_1B,R_EQUEXT_R_0,R_EQUEXT_R_1B,R_EPMEN_0,R_EPMEN_1B,R_UBIT_0,R_UBIT_1B,R_RCDPSNM_0,R_RCDPSNM_1B,R_RCDPSNMPRIM_0,R_RCDPSNMPRIM_1B,R_EPMEN_0,R_EPMEN_1B,R_UBIT_0,R_UBIT_1B,R_RCDPSNM_0,R_RCDPSNM_1B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,58.73902,58.97685,476.2516,477.2409,299.3941,299.4861,7.143685,7.155307,1.095340,1.094935,1.089780,1.089764,1.101265,1.101137,26.24972,26.24976,21.48607,21.54519,6.956828,7.115448,127.0573,127.6901,72.49560,72.47391,36.57887,36.53160,20.34883,20.26836,7.556813,7.470030,-4.949298,-4.771005,-4.710078,-4.532045,20.34883,20.26836,7.556813,7.470030,-4.949298,-4.771005
2022,63.29270,63.58749,496.2039,497.6887,305.9918,306.2040,7.165093,7.182118,1.084961,1.085985,1.101771,1.102815,1.110087,1.110663,26.70683,26.76845,22.55597,22.66533,8.962207,9.114476,133.8198,134.5291,71.99368,72.10448,35.63755,35.64432,16.54049,16.52396,6.941622,6.836727,-4.171854,-3.996109,-3.929538,-3.754921,16.54049,16.52396,6.941622,6.836727,-4.171854,-3.996109
2023,67.78215,68.03552,519.5782,521.2257,313.7150,314.0233,7.296136,7.312722,1.100392,1.102713,1.130439,1.132102,1.126320,1.127576,28.11029,28.20244,23.76299,23.87622,10.82586,10.93838,139.5253,140.2307,73.77806,73.97563,35.05789,35.09376,14.58400,14.63460,6.200767,6.128201,-3.109282,-2.963678,-2.871403,-2.727395,14.58400,14.63460,6.200767,6.128201,-3.109282,-2.963678
2024,71.01674,71.18617,541.6829,543.2281,321.9971,322.3528,7.404963,7.417445,1.132990,1.135785,1.163814,1.165620,1.150106,1.151733,29.76918,29.85828,24.69788,24.80128,11.96084,12.01566,144.9584,145.6488,76.49003,76.69375,34.77755,34.84003,13.86188,13.94181,5.845531,5.826774,-2.663716,-2.557143,-2.432468,-2.327465,13.86188,13.94181,5.845531,5.826774,-2.663716,-2.557143
2025,73.34637,73.45538,561.6477,563.0135,330.2911,330.6452,7.458659,7.467499,1.168869,1.171326,1.194147,1.195693,1.177917,1.179568,31.28349,31.34877,25.53666,25.65005,12.46016,12.45948,150.6178,151.3344,78.93128,79.07913,34.81654,34.91923,13.56761,13.63905,5.825144,5.848357,-2.485650,-2.408273,-2.259738,-2.183659,13.56761,13.63905,5.825144,5.848357,-2.485650,-2.408273
2026,75.28867,75.40472,579.6397,580.9754,339.2234,339.5811,7.472863,7.481451,1.201151,1.202939,1.219959,1.221159,1.206660,1.208150,32.64287,32.68594,26.92469,27.06001,12.22485,12.21547,157.0006,157.8044,80.83452,80.91194,35.76194,35.88636,13.66403,13.70721,6.201862,6.240001,-2.421563,-2.346109,-2.197691,-2.123300,13.66403,13.70721,6.201862,6.240001,-2.421563,-2.346109
2027,77.71245,77.89515,598.7993,600.3486,348.5359,348.9111,7.494351,7.506009,1.228113,1.229450,1.242504,1.243586,1.234783,1.236149,33.84182,33.87863,28.68000,28.84049,12.08641,12.11356,164.3771,165.3195,82.08288,82.11991,36.90528,37.02476,13.63008,13.63830,6.614965,6.638643,-2.272937,-2.173106,-2.050741,-1.951916,13.63008,13.63830,6.614965,6.638643,-2.272937,-2.173106
2028,80.89513,81.15717,620.8343,622.7311,358.1329,358.5561,7.549049,7.564804,1.254272,1.255697,1.265578,1.266866,1.263444,1.264881,35.09720,35.14851,30.64247,30.82704,12.45637,12.52940,172.7641,173.8704,83.16372,83.21242,37.87925,37.98437,13.50361,13.49627,6.889956,6.890801,-1.830196,-1.703550,-1.610717,-1.485199,13.50361,13.49627,6.889956,6.890801,-1.830196,-1.703550
2029,84.63243,84.94934,645.8293,648.0712,368.0946,368.5902,7.634268,7.652960,1.284360,1.286276,1.291458,1.293131,1.294484,1.296162,36.53512,36.61092,32.66054,32.86610,13.24520,13.34494,182.0024,183.2720,84.49178,84.58174,38.59104,38.68906,13.41554,13.41307,7.029666,7.015995,-1.225752,-1.081634,-1.011370,-0.868565,13.41554,13.41307,7.029666,7.015995,-1.225752,-1.081634
2030,88.52523,88.86450,672.7292,675.2369,378.5005,379.0775,7.730039,7.749776,1.319942,1.322426,1.320309,1.322346,1.328733,1.330703,38.16503,38.26266,34.71041,34.93488,14.11481,14.21606,191.8985,193.3172,86.15855,86.28820,39.20962,39.31253,13.43648,13.44794,7.110228,7.095438,-0.535522,-0.386326,-0.328030,-0.180277,13.43648,13.44794,7.110228,7.095438,-0.535522,-0.386326
