,PIB_R_0,PIB_R_1A,EMP_0,EMP_1A,POPACT_0,POPACT_1A,EMISTOTALESD_0,EMISTOTALESD_1A,P_VAB_0,P_VAB_1A,P_CFIN_0,P_CFIN_1A,P_XBS_0,P_XBS_1A,RDMEN_0,RDMEN_1A,EQUEXT_R_0,EQUEXT_R_1A,I_R_0,I_R_1A,XBS_R_0,XBS_R_1A,SALM_0,SALM_1A,R_EQUEXT_R_0,R_EQUEXT_R_1A,R_EPMEN_0,R_EPMEN_1A,R_UBIT_0,R_UBIT_1A,R_RCDPSNM_0,R_RCDPSNM_1A,R_RCDPSNMPRIM_0,R_RCDPSNMPRIM_1A,R_EPMEN_0,R_EPMEN_1A,R_UBIT_0,R_UBIT_1A,R_RCDPSNM_0,R_RCDPSNM_1A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,58.73902,59.56085,476.2516,479.5375,299.3941,299.6496,7.143685,7.252806,1.095340,1.093884,1.089780,1.089665,1.101265,1.100739,26.24972,26.25246,21.48607,21.70765,6.956828,7.478330,127.0573,128.7541,72.49560,72.44166,36.57887,36.44616,20.34883,20.04541,7.556813,7.223335,-4.949298,-4.317920,-4.710078,-4.079499,20.34883,20.04541,7.556813,7.223335,-4.949298,-4.317920
2022,63.29270,64.19272,496.2039,500.4852,305.9918,306.5575,7.165093,7.317045,1.084961,1.088812,1.101771,1.105363,1.110087,1.112001,26.70683,26.92553,22.55597,22.93608,8.962207,9.363351,133.8198,135.5459,71.99368,72.46380,35.63755,35.73004,16.54049,16.48432,6.941622,6.563182,-4.171854,-3.589995,-3.929538,-3.351247,16.54049,16.48432,6.941622,6.563182,-4.171854,-3.589995
2023,67.78215,68.51447,519.5782,523.9232,313.7150,314.5204,7.296136,7.452483,1.100392,1.108170,1.130439,1.135700,1.126320,1.130387,28.11029,28.41187,23.76299,24.15619,10.82586,11.07260,139.5253,141.3072,73.77806,74.53316,35.05789,35.25707,14.58400,14.74948,6.200767,5.942660,-3.109282,-2.634311,-2.871403,-2.401343,14.58400,14.74948,6.200767,5.942660,-3.109282,-2.634311
2024,71.01674,71.58198,541.6829,545.7156,321.9971,322.9349,7.404963,7.552666,1.132990,1.141681,1.163814,1.169296,1.150106,1.155239,29.76918,30.05538,24.69788,25.11331,11.96084,12.06685,144.9584,146.8851,76.49003,77.24615,34.77755,35.08329,13.86188,14.10211,5.845531,5.743320,-2.663716,-2.280242,-2.432468,-2.053904,13.86188,14.10211,5.845531,5.743320,-2.663716,-2.280242
2025,73.34637,73.88701,561.6477,565.5326,330.2911,331.2665,7.458659,7.602309,1.168869,1.176472,1.194147,1.199083,1.177917,1.183251,31.28349,31.51796,25.53666,26.06168,12.46016,12.46517,150.6178,152.8279,78.93128,79.54684,34.81654,35.27235,13.56761,13.77360,5.825144,5.821934,-2.485650,-2.134660,-2.259738,-1.913226,13.56761,13.77360,5.825144,5.821934,-2.485650,-2.134660
2026,75.28867,75.99061,579.6397,583.9910,339.2234,340.2888,7.472863,7.623605,1.201151,1.207459,1.219959,1.224498,1.206660,1.211970,32.64287,32.84957,26.92469,27.57602,12.22485,12.27048,157.0006,159.6250,80.83452,81.32177,35.76194,36.28872,13.66403,13.79454,6.201862,6.218586,-2.421563,-2.020895,-2.197691,-1.801370,13.66403,13.79454,6.201862,6.218586,-2.421563,-2.020895
2027,77.71245,78.67590,598.7993,604.2108,348.5359,349.7231,7.494351,7.659471,1.228113,1.234254,1.242504,1.247409,1.234783,1.240414,33.84182,34.06768,28.68000,29.44265,12.08641,12.26069,164.3771,167.4922,82.08288,82.54783,36.90528,37.42270,13.63008,13.67824,6.614965,6.582867,-2.272937,-1.774491,-2.050741,-1.556981,13.63008,13.67824,6.614965,6.582867,-2.272937,-1.774491
2028,80.89513,82.08800,620.8343,627.4581,358.1329,359.5113,7.549049,7.728262,1.254272,1.261741,1.265578,1.271555,1.263444,1.270003,35.09720,35.38781,30.64247,31.49937,12.45637,12.74054,172.7641,176.3772,83.16372,83.73180,37.87925,38.37268,13.50361,13.52940,6.889956,6.806400,-1.830196,-1.258563,-1.610717,-1.044413,13.50361,13.52940,6.889956,6.806400,-1.830196,-1.258563
2029,84.63243,85.96055,645.8293,653.5034,368.0946,369.7149,7.634268,7.822514,1.284360,1.293872,1.291458,1.298695,1.294484,1.302326,36.53512,36.90015,32.66054,33.60011,13.24520,13.56848,182.0024,186.0728,84.49178,85.20181,38.59104,39.08783,13.41554,13.46388,7.029666,6.927167,-1.225752,-0.614879,-1.011370,-0.406398,13.41554,13.46388,7.029666,6.927167,-1.225752,-0.614879
2030,88.52523,89.91000,672.7292,681.1973,378.5005,380.3741,7.730039,7.922029,1.319942,1.331303,1.320309,1.328536,1.328733,1.337851,38.16503,38.58648,34.71041,35.73026,14.11481,14.41556,191.8985,196.3759,86.15855,86.97426,39.20962,39.74003,13.43648,13.51725,7.110228,7.021797,-0.535522,0.084272,-0.328030,0.285588,13.43648,13.51725,7.110228,7.021797,-0.535522,0.084272
